img_id,img_name,source,date,label
901,paper_1.jpg,youtube,2026-02-18,paper
902,paper_10.jpg,flickr,2026-02-18,paper
903,paper_100.jpg,shutterstock,2026-02-18,paper
904,paper_101.jpg,pinterest,2026-02-18,paper
905,paper_102.jpg,manual,2026-02-18,paper
906,paper_103.jpg,google,2026-02-18,paper
907,paper_104.jpg,manual,2026-02-18,paper
908,paper_105.jpg,shutterstock,2026-02-18,paper
909,paper_106.jpg,flickr,2026-02-18,paper
910,paper_107.jpg,google,2026-02-18,paper
911,paper_108.jpg,shutterstock,2026-02-18,paper
912,paper_109.jpg,google,2026-02-18,paper
913,paper_11.jpg,flickr,2026-02-18,paper
914,paper_110.jpg,shutterstock,2026-02-19,paper
915,paper_111.jpg,manual,2026-02-19,paper
916,paper_112.jpg,youtube,2026-02-19,paper
917,paper_113.jpg,manual,2026-02-19,paper
918,paper_114.jpg,pinterest,2026-02-19,paper
919,paper_115.jpg,google,2026-02-19,paper
920,paper_116.jpg,youtube,2026-02-19,paper
921,paper_117.jpg,google,2026-02-19,paper
922,paper_118.jpg,manual,2026-02-19,paper
923,paper_119.jpg,google,2026-02-19,paper
924,paper_12.jpg,google,2026-02-19,paper
925,paper_120.jpg,google,2026-02-19,paper
926,paper_121.jpg,flickr,2026-02-20,paper
927,paper_122.jpg,manual,2026-02-20,paper
928,paper_123.jpg,manual,2026-02-20,paper
929,paper_124.jpg,google,2026-02-20,paper
930,paper_125.jpg,pinterest,2026-02-20,paper
931,paper_126.jpg,google,2026-02-20,paper
932,paper_127.jpg,google,2026-02-20,paper
933,paper_128.jpg,google,2026-02-20,paper
934,paper_129.jpg,pinterest,2026-02-20,paper
935,paper_13.jpg,pinterest,2026-02-20,paper
936,paper_130.jpg,youtube,2026-02-20,paper
937,paper_131.jpg,youtube,2026-02-20,paper
938,paper_132.jpg,google,2026-02-20,paper
939,paper_133.jpg,manual,2026-02-21,paper
940,paper_134.jpg,flickr,2026-02-21,paper
941,paper_135.jpg,google,2026-02-21,paper
942,paper_136.jpg,youtube,2026-02-21,paper
943,paper_137.jpg,manual,2026-02-21,paper
944,paper_138.jpg,flickr,2026-02-21,paper
945,paper_139.jpg,google,2026-02-21,paper
946,paper_14.jpg,flickr,2026-02-21,paper
947,paper_140.jpg,google,2026-02-21,paper
948,paper_141.jpg,google,2026-02-21,paper
949,paper_142.jpg,shutterstock,2026-02-21,paper
950,paper_143.jpg,google,2026-02-21,paper
951,paper_144.jpg,youtube,2026-02-22,paper
952,paper_145.jpg,google,2026-02-22,paper
